machineid,slot,maxquantity,product
SMDLKT030,A1,25,Town Bus Madras Mixture 35 gm
SMDLKT030,A2,25,Haldirams Salted Peanuts 50 gm
SMDLKT030,A3,25,Haldirams Mixture 40 gm
SMDLKT030,A4,25,Haldirams Roasted Crunchy Peanuts 40 Gm
SMDLKT030,A5,25,Haldirams Instant Bhel 55 gm
SMDLKT030,A6,25,Haldirams Aloo Bhujia 55 gm
SMDLKT030,B1,25,Haldirams Bhujia Sev 40 gm
SMDLKT030,B2,25,Haldirams Tasty Nuts 50 gm
SMDLKT030,B3,25,Town Bus Ribbon Pakoda 35 gm
SMDLKT030,B4,25,Haldirams Khatta Meetha 60 gm
SMDLKT030,B5,25,Haldirams Moong Dal 40 gm
SMDLKT030,B6,25,Haldirams Chatapata 50 gm
SMDLKT030,C1,25,Snickers Kesar Pista 24gm
SMDLKT030,C2,25,Happy Natural Bar 30gm
SMDLKT030,C3,25,Nestle Munch Nuts Chocolate 32 gm
SMDLKT030,C4,25,Happy Jamun Bar 30gm
SMDLKT030,C5,25,Cadbury Fuse
SMDLKT030,C6,25,Happy Coco Bar 30gm
SMDLKT030,C7,25,Happy Sport Protien Bar 40gm
SMDLKT030,C8,25,Happy Fitsport 20g Protein Bar 65gm
SMDLKT030,D1,25,Cavins Milshake Strawberry 200 ml
SMDLKT030,D2,25,Cavins Milshake Chocolate 200 ml
SMDLKT030,D3,25,Britannia Winkin Cow Badam Flavoured Milk 180ml
SMDLKT030,D4,25,Tropicana Guava Juice 200 ml
SMDLKT030,D5,25,Paper Boat Alphonso 150 ml
SMDLKT030,D6,25,Wow Organic Tender Coconut Water 200ml
SMDLKT030,D7,25,Milky Mist Lassi 180ml
SMDLKT030,D8,25,Coolberg Peach Non Alcoholic Beer 300ml
SMDLKT030,E1,25,Loyka Coffee Almond Brittal 17gm
SMDLKT030,E2,25,Loyka Almond Brittle 17gm
SMDLKT030,E3,25,Unibic Choco Ripple 60 gm
SMDLKT030,E4,25,Unibic Snapper Potato Biscuit 75gm
SMDLKT030,E5,25,Winkies Cake 35 gm
SMDLKT030,E6,25,Sunfest Dark Fantasy small 20 gm
SMDLKT030,E7,25,Winkies Mini Swiss Roll Strwaberry 25gm
SMDLKT030,E8,25,Loyka Almond Brittle Brownie 17gm
